,Laptop,Status,Brand,Model,CPU,RAM,Storage,Storage type,GPU,Screen,Touch,Final Price,price,usage Gaming and Design,usage Engineering,usage desk work,url
0,"ASUS ExpertBook B1 B1502CBA-EJ0436X Intel Core i5-1235U/8GB/512GB SSD/15.6""",New,Asus,ExpertBook,Intel Core i5,8,512,SSD,,15.6,No,3127.9,High,False,False,True,https://i.ebayimg.com/thumbs/images/g/0CEAAOSw0mZle~4F/s-l300.jpg
1,"Alurin Go Start Intel Celeron N4020/8GB/256GB SSD/15.6""",New,Alurin,Go,Intel Celeron,8,256,SSD,,15.6,No,926.9,Low,False,False,True,https://i.ebayimg.com/thumbs/images/g/4zIAAOSwAyllb1a6/s-l225.jpg
2,"ASUS ExpertBook B1 B1502CBA-EJ0424X Intel Core i3-1215U/8GB/256GB SSD/15.6""",New,Asus,ExpertBook,Intel Core i3,8,256,SSD,,15.6,No,2445.9,Medium,False,False,True,https://i.ebayimg.com/thumbs/images/g/AvEAAOSw6JRlfkWJ/s-l225.jpg
3,"MSI Katana GF66 12UC-082XES Intel Core i7-12700H/16GB/1TB SSD/RTX3050/15.6""",New,MSI,Katana,Intel Core i7,16,1000,SSD,RTX 3050,15.6,No,3716.9,High,True,True,True,https://i.ebayimg.com/thumbs/images/g/R0EAAOSwVk5lVPxJ/s-l300.jpg
4,"HP 15S-FQ5085NS Intel Core i5-1235U/16GB/512GB SSD/15.6""",New,HP,15S,Intel Core i5,16,512,SSD,,15.6,No,2073.931,Medium,False,True,True,https://i.ebayimg.com/thumbs/images/g/60QAAOSwMORlCIDm/s-l300.jpg
5,"MSI Crosshair 17 C12VF-264XES Intel Core i7-12650H/32GB/1TB SSD/RTX 4060/17.3""",New,MSI,Crosshair,Intel Core i7,32,1000,SSD,RTX 4060,17.3,No,5266.900000000001,High,True,True,True,https://i.ebayimg.com/thumbs/images/g/5McAAOSwzy9lANLE/s-l225.jpg
6,"Lenovo Thinkpad E14 Gen 4 AMD Ryzen 5 5625U/8GB/256GB SSD/14""",New,Lenovo,ThinkPad,AMD Ryzen 5,8,256,SSD,,14.0,No,2817.9,Medium,True,True,True,https://i.ebayimg.com/thumbs/images/g/wpYAAOSw2yNlVkW8/s-l300.jpg
7,"ASUS VivoBook 15 F515JA-EJ2882W Intel Core i7-1065G7/8GB/512GB SSD/15.6""",New,Asus,VivoBook,Intel Core i7,8,512,SSD,,15.6,No,2507.931,Medium,False,False,True,https://i.ebayimg.com/thumbs/images/g/R-oAAOSwHIllbibU/s-l300.jpg
8,"Medion Akoya E15415 Intel Core i5-10210U/8GB/256GB SSD/15.6""",New,Medion,Akoya,Intel Core i5,8,256,SSD,,15.6,No,1608.9,Medium,False,False,True,https://i.ebayimg.com/thumbs/images/g/qSkAAOSwOqdlfz2O/s-l225.jpg
9,"HP Victus 16-d1038ns Intel Core i7-12700H/16GB/512GB SSD/RTX 3050/16.1""",New,HP,Victus,Intel Core i7,16,512,SSD,RTX 3050,16.1,No,3561.9,High,True,True,True,https://i.ebayimg.com/thumbs/images/g/LikAAOSwuONlgcve/s-l300.jpg
10,"Lenovo V15 IGL Intel Celeron N4020/8GB/256 GB SSD/15.6""",New,Lenovo,V15,Intel Celeron,8,256,SSD,,15.6,No,1081.9,Low,False,False,True,https://i.ebayimg.com/thumbs/images/g/c2cAAOSwBQZle2zc/s-l225.jpg
11,"MSI Thin GF63 12VE-021XES Intel Core i7-12650H/16GB/1TB SSD/RTX 4050/15.6""",New,MSI,Thin,Intel Core i7,16,1000,SSD,RTX 4050,15.6,No,4336.900000000001,High,True,True,True,https://i.ebayimg.com/thumbs/images/g/FeIAAOSw~-Vld7rO/s-l300.jpg
12,"ASUS ROG Strix G15 G513RC-HN088 AMD Ryzen 7 6800H/16GB/512GB SSD/RTX 3050/15.6""",New,Asus,ROG,AMD Ryzen 7,16,512,SSD,RTX 3050,15.6,No,3716.9,High,True,True,True,https://i.ebayimg.com/thumbs/images/g/1iAAAOSw6Q5k-Zg6/s-l300.jpg
